ItmId,ItmPthId,ItmIdentifier,ItmDescription,ItmType,ItmSkinnable,ItmStackAmount,ItmMaximumAmount,ItmLook,ItmLookColor,ItmIcon,ItmIconColor,ItmSex,ItmLevel,ItmMark,ItmDurability,ItmMinimumSDamage,ItmMaximumSDamage,ItmMinimumLDamage,ItmMaximumLDamage,ItmArmor,ItmHit,ItmDam,ItmVita,ItmMana,ItmMight,ItmWill,ItmGrace,ItmProtection,ItmHealing,ItmWisdom,ItmMightRequired,ItmExchangeable,ItmDepositable,ItmDroppable,ItmCon,ItmSound,ItmText,ItmBuyPrice,ItmSellPrice,ItmBuyText,ItmThrown,ItmThrownConfirm,ItmRepairable,ItmIndestructible,ItmTimer,ItmBoD,ItmProtected,ItmUnequip
10,0,key_to_fire,Key to Fire,18,0,1,0,0,0,483,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
11,0,key_to_earth,Key to Earth,18,0,1,0,0,0,488,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
12,0,key_to_heaven,Key to Heaven,18,0,1,0,0,0,481,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
13,0,ju_jak_key,Ju jak key,18,0,1,0,0,0,752,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
14,0,key_to_pond,Key to Pond,18,0,1,0,0,0,482,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
15,0,key_to_water,Key to Water,18,0,1,0,0,0,486,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
16,2,magical_dust,Magical dust,6,0,1,0,-1,0,729,0,2,75,0,6000,0,0,0,0,-8,2,2,0,200,3,3,3,1,0,0,0,0,0,0,0,331,,5000,2500,For level 5 or higher,0,1,0,0,0,1,0,0
17,0,key_to_mountain,Key to Mountain,18,0,1,0,0,0,487,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
18,0,wolf_pelt,Wolf pelt,18,0,1,0,0,0,218,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,10,5,,0,0,1,0,0,0,0,0
19,0,key_to_thunder,Key to Thunder,18,0,1,0,0,0,482,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
20,0,hyun_moo_key,Hyun moo key,18,0,1,0,0,0,480,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
21,0,key_to_wind,Key to Wind,18,0,1,0,0,0,484,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
22,0,baekho_key,Baekho key,18,0,1,0,0,0,753,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
23,0,nagnang_compass,Nagnang compass,1,0,20,20,0,0,715,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,100,50,,0,0,1,0,0,0,0,0
24,0,lockpick,Lockpick,18,0,1,0,0,0,26,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,10,5,,0,0,1,0,0,0,0,0
25,0,iron_key,Iron key,18,0,1,0,0,0,26,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,1,0,,0,0,1,0,0,0,0,0
26,0,suspicious_note,Suspicious note,18,0,1,0,0,0,282,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,331,,0,0,,1,0,1,0,0,0,0,0
27,0,poisoned_bracelet,Poisoned bracelet,18,0,1,0,0,0,5128,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,331,,0,0,,1,0,1,0,0,0,0,0
28,0,handwritten_note,Handwritten note,18,0,1,0,0,0,282,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,331,,0,0,,1,0,1,0,0,0,0,0
29,0,slumberquick,Slumberquick,18,0,1,0,0,0,982,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,331,,0,0,,1,0,1,0,0,0,0,0
30,0,slumbering_hwan,Slumbering Hwan,18,0,1,0,0,0,86,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,331,,0,0,,1,0,1,0,0,0,0,0
99,0,wooden_sword_trap,wooden sword,20,0,1,0,0,0,1,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
100,0,==PEASANT GEAR==,==PEASANT GEAR==,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
101,0,====\\\\ PEASANT WEAPONS \\\\ ====,====\\\\ PEASANT WEAPONS \\\\ ====,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
102,0,wooden_saber,Wooden saber,3,0,1,0,1,0,2,0,2,1,0,1000,5,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,1,1,,0,1,1,0,0,0,0,0
103,0,wisdom_of_the_ages,Wisdom of the Ages,3,0,1,0,1,0,2,0,2,50,0,100000,30,50,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,1000,500,,0,1,1,0,0,0,0,0
108,0,viper_stick,Viper stick,3,0,1,0,1,0,2,0,2,1,0,10000,18,30,0,0,0,2,0,-50,0,0,0,0,0,0,0,8,0,0,0,0,331,,800,400,,0,1,1,0,0,1,0,0
109,0,titanium_blade,Titanium blade,3,0,1,0,27,0,755,0,2,99,0,4000000,110,160,130,180,0,0,2,0,0,-2,0,0,0,2,0,100,0,0,0,0,331,,200000,100000,,0,1,0,0,0,0,0,0
110,1,sword_of_power,Sword of power,3,0,1,0,2,1,0,0,2,5,0,50000,20,25,20,25,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,337,,200,100,,0,1,1,0,0,0,0,0
111,0,peasant_garb,Peasant garb,4,0,1,0,5,0,119,0,0,1,0,3000,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,5,2,,0,1,1,0,0,0,0,0
112,0,peasant_dress,Peasant dress,4,0,1,0,9,0,179,0,1,1,0,3000,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,5,2,,0,1,1,0,0,0,0,0
113,0,novice_sword,Novice sword,3,0,1,0,0,0,0,0,2,0,0,1000,10,12,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,1,1,,0,1,1,0,0,0,0,0
114,1,military_fork,Military fork,3,0,1,0,10001,0,56,0,2,0,0,20000,90,100,95,105,0,3,1,0,0,0,0,0,0,0,0,20,0,0,0,0,331,,1200,600,,0,1,1,0,0,0,0,0
115,0,runed_dagger,Runed dagger,3,0,1,0,0,0,1,0,2,1,0,30000,40,70,32,53,0,0,0,0,0,1,1,1,0,0,0,25,0,0,0,0,331,,2500,1250,,0,1,1,0,0,0,0,0
116,1,iron_sword,Iron sword,3,0,1,0,20,0,2522,0,2,1,0,30000,55,80,50,70,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,331,,2000,1000,,0,1,1,0,0,0,0,0
117,0,lantern,Lantern,5,0,1,0,5,0,1568,0,2,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,331,,50,25,,0,1,0,0,0,1,0,0
118,0,giasomo_stick,Giasomo stick,3,0,1,0,1,0,2,0,2,50,0,12000,20,60,20,60,0,-1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,331,,5000,2500,,0,1,1,0,0,1,0,0
119,0,frozen_spear,Frozen spear,3,0,1,0,10011,0,665,0,2,99,0,250000,10,200,10,200,5,0,5,0,0,2,0,0,0,5,0,5,0,0,0,0,331,,250000,125000,,0,1,1,0,0,1,0,0
120,0,flamefang,Flamefang,3,0,1,0,10,0,629,0,2,90,0,200000,60,100,60,110,0,3,3,0,400,0,6,0,0,0,0,0,0,0,0,0,331,,20,10,,0,1,1,0,0,1,0,0
121,0,ice_sabre,Ice sabre,3,0,1,0,23,0,649,0,2,60,0,200000,50,100,40,90,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,331,,20000,10000,,0,1,1,0,0,0,0,0
122,0,long_spear,Long spear,3,0,1,0,10000,0,52,0,2,0,0,15000,30,55,30,60,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,331,,400,200,Strength of 17 req,0,1,1,0,0,0,0,0
123,0,might_spear,Might spear,3,0,1,0,10000,0,52,0,2,55,0,40000,60,85,50,80,2,0,1,150,0,5,0,0,0,0,0,5,0,0,0,0,331,,2000,1000,,0,1,1,0,0,0,0,0
124,0,faerie_light,Faerie light,3,0,1,0,10007,0,627,0,2,70,0,5000000,80,90,80,100,0,0,0,0,800,0,10,0,0,0,0,0,0,0,0,0,331,,100000,50000,,0,1,1,0,0,0,0,0
125,1,stone_axe,Stone axe,3,0,1,0,10006,0,623,0,2,90,0,100000,50,130,30,110,-1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,331,,800000,400000,,0,1,1,0,0,0,0,0
126,0,steel_blade,Steel blade,3,0,1,0,3,0,0,0,2,0,0,80000,55,100,60,90,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,331,,4000,2000,Strength of 35 req,0,1,1,0,0,0,0,0
127,2,blue_dragon_longsword,Blue dragon longsword,3,0,1,0,10029,0,1454,0,2,99,0,500000,200,220,200,250,-4,5,5,2000,1000,5,0,10,0,0,0,0,0,0,0,0,331,,1500000,750000,,0,1,1,0,0,0,0,0
219,0,tarnished_shield,Tarnished shield,5,0,1,0,0,4,139,4,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,1,1,0,0,0,0,0
500,0,war_platemail,War platemail,4,0,1,0,12,0,139,0,0,0,0,4000,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,20,0,For peasants,0,1,1,0,0,0,0,0
501,0,spring_mail_dress,Spring mail dress,4,0,1,0,211,0,120,0,1,0,0,3000,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,15,0,For peasants,0,1,1,0,0,0,0,0
502,0,spring_war_dress,Spring war dress,4,0,1,0,13,0,200,0,1,0,0,4000,0,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,20,0,For peasants,0,1,1,0,0,0,0,0
503,0,scale_mail,Scale Mail,4,0,1,0,210,0,120,0,0,0,0,3000,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,10,0,For peasants,0,1,1,0,0,0,0,0
504,0,spring_armor_dress,Spring Armor Dress,4,0,1,0,8,0,169,0,1,0,0,3000,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,10,0,For peasants,0,1,1,0,0,0,0,0
505,0,steel_dagger,Steel dagger,3,0,1,0,0,0,1,0,2,0,0,20000,35,70,27,53,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,331,,800,400,Strength of 20 req,0,1,1,0,0,0,0,0
506,0,steel_saber,Steel saber,3,0,1,0,2,0,1,0,2,0,0,40000,50,85,40,70,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,331,,1000,500,Strength of 25 req,0,1,1,0,0,0,0,0
507,0,steel_sword,Steel sword,3,0,1,0,3,0,0,0,2,0,0,60000,55,90,60,80,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,331,,2000,1000,Strength of 30 req,0,1,1,0,0,0,0,0
508,0,spring_dress,Spring dress,4,0,1,0,6,1,149,1,1,0,0,3000,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,4,For peasants,0,1,1,0,0,0,0,0
509,0,spring_blouse,Spring blouse,4,0,1,0,7,1,159,1,1,0,0,3000,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2,For peasants,0,1,1,0,0,0,0,0
510,0,spring_skirt,Spring skirt,4,0,1,0,11,1,190,0,1,0,0,3000,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,5,For peasants,0,1,1,0,0,0,0,0
511,0,spring_gown,Spring gown,4,0,1,0,18,1,450,1,1,0,0,3000,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,5,For peasants,0,1,1,0,0,0,0,0
512,0,wedding_dress,Wedding dress,4,0,1,0,15,0,479,0,1,0,0,1000,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,15000,7500,,0,1,1,0,0,0,0,0
513,0,peasant_clothes,Peasant clothes,4,0,1,0,10,1,129,0,0,0,0,3000,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7,3,For peasants,0,1,1,0,0,0,0,0
514,0,spring_garb,Spring garb,4,0,1,0,3,0,99,0,0,0,0,3000,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2,For peasants,0,1,1,0,0,0,0,0
515,0,spring_robes,Spring robes,4,0,1,0,20,1,469,0,0,0,0,3000,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,4,For peasants,0,1,1,0,0,0,0,0
516,0,merchant_waistcoat,Merchant waistcoat,4,0,1,0,2,0,89,0,0,0,0,3000,0,0,0,0,-6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,4,For peasants,0,1,1,0,0,0,0,0
517,0,green_cloak,Green cloak,4,0,1,0,14,0,460,0,0,0,0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,15000,7500,,0,1,1,0,0,0,0,0
519,0,fine_steel_dagger,Fine steel dagger,3,0,1,0,0,0,1,0,2,0,0,20000,35,70,27,53,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,331,,1600,800,Strength of 20 req,0,1,1,0,0,0,0,0
520,0,rusty_shortsword,Rusty shortsword,3,0,1,0,0,0,1,0,2,30,0,50000,50,55,40,70,0,3,3,100,0,0,0,0,0,0,0,0,0,0,0,0,331,,900,450,,0,1,1,0,0,0,0,0
521,0,spring_mantle,Spring mantle,4,0,1,0,21,0,491,0,0,0,0,3500,0,0,0,0,-6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,100,50,made my tailors,0,1,1,0,0,0,0,0
522,0,spring_drapery,Spring drapery,4,0,1,0,27,0,571,0,1,0,0,3500,0,0,0,0,-6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,100,50,made my tailors,0,1,1,0,0,0,0,0
1000,0,short_bow,Short bow,3,0,1,0,20000,0,4,0,2,0,0,1000,1,5,1,5,5,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,331,,4000,2000,Strength 30 required,0,1,1,0,0,0,0,0
1001,0,jolt_trident,Jolt trident,3,0,1,0,10013,0,746,0,2,0,0,100000,10,40,10,150,0,0,0,0,100,0,2,0,0,0,0,30,0,0,0,0,331,,0,0,,0,0,1,0,0,1,0,0
1002,2,swift_sword,Swift sword,3,0,1,0,1,2,0,0,2,5,0,5000,20,25,20,25,0,0,1,10,0,0,0,1,0,0,0,0,0,0,0,0,337,,200,100,,0,1,1,0,0,0,0,0
1003,0,,,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
1004,0,frost_sabre,Frost sabre,3,0,1,0,23,0,649,0,2,8,0,20000,10,18,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,1,1,0,0,0,0,0
1005,0,student_cap,Student cap,6,0,1,0,108,0,704,0,2,1,0,6000,0,0,0,0,-4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,331,,200,100,,0,1,1,0,0,1,0,0
1006,0,merchant_armor,Merchant armor,4,0,1,0,4,0,169,0,0,0,0,3000,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,10,5,For peasants,0,1,1,0,0,0,0,0
1007,0,,,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
1008,0,,,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
1009,0,,,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
1010,0,,,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
1011,0,,,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
1012,0,,,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
1500,0,==== EVENT ITEMS ====,==== EVENT ITEMS ====,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
1501,0,crystal_shard,Crystal Shard,18,0,1,1,0,0,885,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,331,,0,0,,1,0,1,0,0,0,0,0
1502,0,,,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
2000,0,==== NEW 99 HAND ITEMS====,==== NEW 99 HAND ITEMS ====,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
2001,0,lucky_ring,Lucky Ring,7,0,2,0,0,0,708,0,2,99,0,100000,0,0,0,0,-8,3,4,2000,500,5,0,5,2,0,0,100,0,0,0,0,331,,0,0,,0,0,0,0,0,0,0,0
2002,0,steel_gauntlet,Steel Gauntlet,7,0,2,0,0,0,712,0,2,99,0,250000,0,0,0,0,-9,3,7,4000,-500,10,0,0,1,0,0,100,0,0,0,0,331,,0,0,,0,0,0,0,0,0,0,0
2003,0,magic_glove,Magic Glove,7,0,2,0,0,0,1884,0,2,99,0,100000,0,0,0,0,-8,0,0,-1000,2000,0,10,0,4,0,0,50,0,0,0,0,331,,0,0,,0,0,0,0,0,0,0,0
2004,0,sages_band,Sage\'s Band,7,0,2,0,0,0,989,0,2,99,0,100000,0,0,0,0,-8,0,0,1000,1000,0,5,5,3,0,0,50,0,0,0,0,331,,0,0,,0,0,0,0,0,0,0,0
2100,0,==== NEW 99 HAND ITEMS====,==== NEW 99 HAND ITEMS ====,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
3000,0,====CRAFTABLE WEAPONS====,=====CRAFTABLE WEAPONS=====,0,0,1,0,0,0,0,0,2,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,,0,0,,0,0,1,0,0,0,0,0
3001,0,wooden_sword,Wooden sword,3,0,1,0,1,0,2,0,2,0,0,4000,10,15,13,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,331,,20,10,Strength of 5 req,0,1,1,0,0,0,0,0
3002,0,supple_wooden_sword,Supple wooden sword,3,0,1,0,1,0,2,0,2,0,0,4400,10,15,13,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,331,,40,20,Strength of 5 req,0,1,1,0,0,0,0,0
3003,0,wooden_blade,Wooden Blade,3,0,1,0,1,0,2,0,2,1,0,16000,20,90,20,75,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,331,,800,400,Strength of 22 req,0,1,1,0,0,0,0,0
3004,0,supple_wooden_blade,Supple wooden blade,3,0,1,0,1,0,2,0,2,1,0,17200,20,90,20,75,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,331,,1000,500,Strength of 22 req,0,1,1,0,0,0,0,0
3005,0,viperhead_woodsaber,Viperhead woodsaber,3,0,1,0,1,0,2,0,2,1,0,6000,15,25,12,25,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,331,,60,30,Strength of 10 req,0,1,1,0,0,0,0,0
3006,0,supple_viperhead_woodsaber,Supple vprhd saber,3,0,1,0,1,0,2,0,2,1,0,6000,15,25,12,25,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,331,,120,60,Strength of 10 req,0,1,1,0,0,0,0,0
3007,0,viperhead_woodsword,Viperhead woodsword,3,0,1,0,1,0,2,0,2,0,0,8000,20,35,20,35,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,331,,150,75,Strength of 13 req,0,1,1,0,0,0,0,0
3008,0,supple_viperhead_woodsword,Supple vprhd sword,3,0,1,0,1,0,2,0,2,0,0,8000,20,35,20,35,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,331,,300,150,Strength of 13 req,0,1,1,0,0,0,0,0
3009,0,fine_steel_saber,Fine steel saber,3,0,1,0,2,0,1,0,2,0,0,50000,50,85,40,70,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,331,,2000,1000,Strength of 25 req,0,1,1,0,0,0,0,0
3010,0,fine_steel_sword,Fine steel sword,3,0,1,0,2,0,1,0,2,0,0,72000,55,90,60,80,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,331,,4000,2000,Strength of 30 req,0,1,1,0,0,0,0,0
3011,0,fine_steel_blade,Fine steel blade,3,0,1,0,2,0,1,0,2,0,0,96000,55,100,60,90,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,331,,8000,4000,Strength of 35 req,0,1,1,0,0,0,0,0
3012,0,oaken_sword,Oaken sword,3,0,1,0,1,0,2,0,2,0,0,8000,20,35,20,35,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,331,,300,150,,0,1,1,0,0,0,0,0
3013,0,supple_oaken_sword,Supple oaken sword,3,0,1,0,1,0,2,0,2,0,0,8000,20,35,20,35,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,331,,300,200,,0,1,1,0,0,0,0,0
3014,0,oaken_blade,Oaken blade,3,0,1,0,1,0,2,0,2,0,0,8000,20,35,20,35,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,331,,300,200,,0,1,1,0,0,0,0,0
3015,0,supple_oaken_blade,Supple oaken blade,3,0,1,0,1,0,2,0,2,0,0,8000,20,35,20,35,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,331,,300,250,,0,1,1,0,0,0,0,0
3016,0,juk_do,Juk-do,3,0,1,0,1,0,2,0,2,80,0,500000,85,95,85,95,0,2,2,50,0,0,0,0,0,0,0,75,0,0,0,0,331,,300,300,,0,1,1,0,0,1,0,0
3017,0,elegant_juk_do,Elegant Juk-do,3,0,1,0,1,0,2,0,2,80,0,500000,90,95,90,95,0,3,3,100,0,0,0,0,0,0,0,75,0,0,0,0,331,,300,350,,0,1,1,0,0,0,0,0
