NpcId,NpcIdentifier,NpcDescription,NpcType,NpcMapId,NpcX,NpcY,NpcTimer,NpcLook,NpcLookColor,NpcSex,NpcSide,NpcState,NpcFace,NpcFaceColor,NpcHair,NpcHairColor,NpcSkinColor,NpcIsChar,NpcIsF1Npc,NpcIsRepairNpc,NpcIsShopNpc,NpcIsBankNpc,NpcReturnDistance,NpcMoveTime,NpcCanReceiveItem,Enabled,EraFeature
41,WarriorTrainerNpc,Yabaek,0,366,6,2,0,39,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
42,RogueTrainerNpc,Maso,0,368,6,2,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
43,BloodNpc,Blood,0,3805,6,5,0,64,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
44,NamelessHermitNpc,Nameless Hermit,0,3040,4,2,0,6,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
45,RockNpc,Myung-Suck,0,3040,20,21,0,175,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
46,YonNpc,Yon,0,1142,1,7,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
47,MuseumGreeterNpc,Museum Greeter,0,4702,3,31,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
48,MuseumCaretakerNpc,Caretaker,0,4709,6,6,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
49,MainTutorialNpc,Jadespear,0,351,5,6,0,8,31,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
50,PotionShopNpc,Baegil,0,28,2,4,900000,86,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
51,PotionShopNpc,Bagai,0,363,2,3,900000,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
52,InnNpc,Walsuk,0,2,18,4,0,14,4,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,
53,InnNpc,Bamboo,0,37,14,3,0,14,4,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,
54,InnNpc2,Ox,0,37,14,8,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
55,InnNpc,Pepper,0,361,18,5,0,14,4,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,
56,InnNpc2,Taur,0,361,18,9,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
57,InnNpc2,Ox,0,2,18,9,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
58,InnNpc,Spring,0,332,14,5,0,14,4,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,
59,InnNpc2,Taur,0,332,14,9,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
60,InnNpc,Yunsil,0,362,16,4,0,14,4,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,
61,InnNpc2,Taur,0,362,15,8,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
62,InnNpc,Ginger,0,38,18,3,0,14,4,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,
63,InnNpc2,Ox,0,38,18,9,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
64,ShamanNpc,Storm,0,339,4,4,0,9,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
65,ShamanNpc,Felis,0,338,4,4,0,9,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
66,ShamanNpc,Dusk,0,8,5,4,0,9,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
67,ShamanNpc,Dawn,0,9,5,4,0,9,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
68,SmithNpc,Dok,0,333,3,4,0,6,13,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,
69,RingShopNpc,Pitch,0,364,2,4,0,86,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
70,SeamstressNpc,Cuti,0,5,2,4,0,5,36,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
71,SeamstressNpc,Blossom,0,335,3,3,0,5,36,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
72,TailorNpc,Chi,0,336,6,4,0,10,18,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
73,TailorNpc,Cry,0,6,3,4,0,10,18,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
74,MiscGameShopNpc,Stoney,0,20,3,5,0,86,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
75,ChapelNpc,Lotus,0,10,9,7,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
76,ButcherNpc,Ogi,0,334,4,4,0,11,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
77,DogLinguistNpc,Mutt,0,0,61,146,0,93,12,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4000,0,1,
78,DogLinguistNpc,Jindo dog,0,330,132,139,0,18,12,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4000,0,1,
79,DogLinguistNpc,Hunting dog,0,0,19,170,0,95,12,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4000,0,1,
80,DogLinguistNpc,Spotted dog,0,330,19,8,0,93,12,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4000,0,1,
81,RogueGuildShamanNpc,Onyx,0,343,15,13,0,9,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
82,RogueGuildShamanNpc,Pearl,0,15,2,14,0,9,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
83,ExpSeller,Shady,0,345,4,5,0,47,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
84,AncientLeviathanNpc,Ancient leviathan,0,2538,29,9,0,158,23,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4000,0,1,
85,BorderPatrolNpc,Border patrol,0,2500,143,87,0,224,28,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
86,FoxSpiritNpc,Fox spirit,0,4,0,0,0,34,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
87,HermitNpc,Hermit,0,2540,8,6,0,6,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4000,0,1,
88,MessengerNpc,Paryu,0,337,8,3,0,61,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
89,ExpSeller,Sunset,0,19,4,4,0,47,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
90,ExpSeller,Midnight,0,2970,4,10,0,47,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
91,WarriorTrainerNpc,Sword,0,3820,5,5,0,39,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
92,WarpTrapTigerPeltNpc,warp trap pelt,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
93,ChapelNpc,Peach,0,340,9,7,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
94,TotemNpc,Ju jak priest,0,4,10,5,0,9,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
95,TotemNpc,Chung ryong priest,0,4,16,5,0,9,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
96,TotemNpc,Hyun moo priest,0,4,16,6,0,9,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
97,TotemNpc,Baekho priest,0,4,11,6,0,9,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
98,TigerWarpNpc,tigerWarp,0,4,5,3,900000,49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
99,TigerSpawnNpc,tigerSpawn,0,4,6,3,300000,49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
100,ZephyrNpc,Zephyr,0,1455,8,4,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
101,LibrarianNpc,Lake,0,486,17,5,0,43,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
102,SonhiGuardNpc,Sonhi guard,0,6592,9,11,0,155,21,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
103,GlothNpc,Gloth,0,6599,15,13,0,161,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
104,LostLegendChestNpc,Chest,0,6599,7,38,0,154,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
105,SyaNpc,Sya,0,3801,4,4,0,76,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
106,GanNpc,Gan,0,3803,5,4,0,66,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
107,MinNpc,Min,0,1029,3,5,0,11,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
108,SmithNpc,Chul,0,2518,3,5,0,6,9,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,
109,WarpTrapShiverNpc,warp trap shiver,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
110,WarpTrapDarkPenNpc,warp trap dark pen,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
111,WarpTrapDarkStripesNpc,warp_trap_dark_stripes,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
112,WarpTrapDeclawedNpc,warp_trap_declawed,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
113,WarpTrapJungleProwlNpc,warp_trap_jungle_prowl,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
114,WarpTrapPounceNpc,warp_trap_pounce,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
115,WarpTrapUndergrowthNpc,warp_trap_undergrowth,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
116,WarpTrapTigerStretchNpc,warp_trap_tiger_stretch,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
117,WarpTrapRestlessCageNpc,warp_trap_restless_cage,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
118,TigerTrapNpc,tiger_trap,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
119,BaekNpc,Baek,0,30,3,4,0,10,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
120,MythicAllianceNpc,Mythic Rabbit,0,3020,8,4,0,131,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
121,MythicAllianceNpc,Mythic Monkey,0,3021,8,3,0,136,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
122,MythicAllianceNpc,Mythic Dog,0,3022,9,3,0,138,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
123,MythicAllianceNpc,Mythic Rooster,0,3023,8,3,0,137,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
124,MythicAllianceNpc,Mythic Horse,0,3024,8,3,0,134,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
125,MythicAllianceNpc,Mythic Rat,0,3025,8,3,0,128,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
126,MythicAllianceNpc,Mythic Ox,0,3026,8,3,0,129,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
127,MythicAllianceNpc,Mythic Pig,0,3027,8,3,0,139,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
128,MythicAllianceNpc,Mythic Snake,0,3028,8,3,0,133,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
129,MythicAllianceNpc,Mythic Sheep,0,3029,8,3,0,135,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
130,MythicAllianceNpc,Mythic Tiger,0,3030,8,3,0,130,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
131,MythicAllianceNpc,Mythic Dragon,0,3031,8,3,0,132,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
132,SmithNpc,Runag,0,1030,4,3,0,6,13,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,
133,MageTrainerNpc,Wand,0,3828,2,7,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
134,MageStoneProphetsNpc,Yin,0,2571,3,6,0,6,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
135,MageStoneProphetsNpc,Yang,0,2572,3,6,0,6,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
136,MageStoneProphetsNpc,Void,0,2573,3,6,0,6,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
137,PoetTrainerNpc,Staff,0,2516,8,3,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
138,RogueTrainerNpc,Dagger,0,3824,3,4,0,100,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
139,BlackbirdNpc,Blackbird,0,1004,72,4,0,92,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,2000,0,1,
140,ValleyFarmGhostNpc,Majhum,0,5930,38,50,0,257,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,2000,0,1,
141,BenitnathNpc,Benitnath,0,5928,7,5,0,86,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
142,SmithNpc,Gruff,0,1125,4,4,0,6,13,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,
143,FishNpc,Wim,0,330,109,88,0,8,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
144,DobosNpc,Dobos,0,5955,9,6,0,39,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
145,ShyunNpc,Shyun,0,5948,20,5,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
146,JiongNpc,Jiong,0,5951,9,8,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
147,ParkNpc,Park,0,5952,9,6,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
148,ClawNpc,Claw,0,3041,5,4,0,29,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
149,PoemNpc,Poem,0,4019,8,5,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
150,SageNpc,Sage,0,1230,6,5,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
151,IronLabMerchantNpc,Iron Merchant,0,1307,4,5,0,6,13,0,2,0,0,0,0,0,0,0,0,0,0,0,7,18000,0,1,
152,SmithNpc,Othotsk,0,3813,8,5,0,6,13,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,
153,WarriorTrainerNpc,Kwi-SIn Tabaek,0,300,4,3,0,39,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
154,WarriorTrainerNpc,MIng-Ken Tabaek,0,301,4,3,0,39,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
155,WarriorTrainerNpc,Ohaeng Tabaek,0,302,4,3,0,39,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
156,WarriorTrainerNpc,Kwi-Sin Yabaek,0,303,6,2,0,39,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
157,WarriorTrainerNpc,Ming-Ken Yabaek,0,304,6,2,0,39,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
158,WarriorTrainerNpc,Ohaeng Yabaek,0,305,6,2,0,39,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
159,RogueTrainerNpc,Kwi-Sin Maro,0,312,5,4,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
160,RogueTrainerNpc,Ming-Ken Maro,0,313,5,4,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
161,RogueTrainerNpc,Ohaeng Maro,0,314,5,4,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
162,RogueTrainerNpc,Kwi-Sin Maso,0,315,6,2,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
163,RogueTrainerNpc,Ming-Ken Maso,0,316,6,2,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
164,RogueTrainerNpc,Ohaeng Maso,0,317,6,2,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
165,MageTrainerNpc,Kwi-Sin Haedu,0,306,5,2,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
166,MageTrainerNpc,Ming-Ken Haedu,0,307,5,2,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
167,MageTrainerNpc,Ohaeng Haedu,0,308,5,2,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
168,MageTrainerNpc,Kwi-Sin Eldritch,0,309,5,2,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
169,MageTrainerNpc,MIng-Ken Eldritch,0,310,5,2,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
170,MageTrainerNpc,Ohaeng Eldritch,0,311,5,2,0,40,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
171,PoetTrainerNpc,Kwi-Sin Jinsun,0,318,6,2,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
172,PoetTrainerNpc,Ming-Ken Jinsun,0,319,6,2,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
173,PoetTrainerNpc,Ohaeng Jinsun,0,320,6,2,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
174,PoetTrainerNpc,Kwi-Sin Song,0,321,6,3,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
175,PoetTrainerNpc,Ming-Ken Song,0,322,6,3,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
176,PoetTrainerNpc,Ohaeng Song,0,323,6,3,0,87,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
177,BonHwaNpc,Bon-Hwa,0,1229,8,7,0,47,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
178,RabbitSpawnNpc,rabbitSpawn,0,4,7,3,450000,49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
179,MiningSpawnHandlerNpc,miningSpawnHandler,0,4,8,3,150,49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
180,WoodcuttingSpawnHandlerNpc,woodcuttingSpawnHandler,0,4,9,3,150,49,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
181,UnlockedSpiritNpc,Unlocked spirit,0,219,13,6,0,47,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
182,ArenaMasterNpc,Tower,0,31,9,7,0,8,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
183,EventManagerNpc,League,0,3013,6,4,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
184,ButcherNpc,Lien,0,3804,2,3,0,11,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
185,AuctioneerNpc,Frank,0,4,5,7,0,38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
186,MessengerNpc,Messenger test,0,4,6,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
187,SummitNpc,Summit,0,229,22,7,0,130,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,1,
188,AlignmentNpc,Kwi-Sin,0,324,6,12,0,222,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4000,0,1,
189,AlignmentNpc,Ming-Ken,0,325,6,12,0,223,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4000,0,1,
190,AlignmentNpc,Ohaeng,0,326,6,12,0,188,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4000,0,1,
191,NpcSubpathGeomancerEarthsDragonNpc,Earths Dragon,0,3622,14,15,0,186,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,1,
192,NpcSubpathGeomancerLoShuNpc,Lo Shu,0,3656,12,3,0,174,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,1,
193,NpcSubpathGeomancerEarthsTreasureNpc,Earths Treasure,0,3623,2,5,0,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,1,
194,NpcSubpathGeomancerGengVinNpc,Geng Vin,0,3624,2,8,10000,29,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
195,RotahNpc,Rotah,0,1002,208,138,0,38,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,
196,SmithNpc,Thane,0,1144,6,5,0,38,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,
197,SeamstressNpc,Lin,0,1123,7,3,0,5,36,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
